datetime,precipitacao
2024-12-03,0.0
2024-12-04,7.0
2024-12-05,0.8
2024-12-06,10.8
2024-12-07,0.4
2024-12-08,10.799999999999999
2024-12-09,0.6000000000000001
2024-12-10,48.8
2024-12-11,0.0
2024-12-12,22.8
2024-12-13,45.199999999999996
2024-12-14,18.599999999999998
2024-12-15,12.600000000000001
2024-12-16,7.0
2024-12-17,9.4
2024-12-18,3.6
2024-12-19,4.0
2024-12-20,17.799999999999997
2024-12-21,0.2
2024-12-22,0.0
2024-12-23,0.0
2024-12-24,13.6
2024-12-25,23.4
2024-12-26,15.8
2024-12-27,3.0
2024-12-28,0.0
2024-12-29,5.3999999999999995
2024-12-30,8.599999999999998
2024-12-31,0.0
